"Source:","/Users/clarissadaniel/Desktop/LabBench2.0/Power_Supply/powersupply/powersupply.sch"
"Date:","Tuesday, August 06, 2019 at 03:06:19 PM"
"Tool:","Eeschema (5.1.2-1)-1"
"Generator:","/private/var/folders/4n/bxh41g_d1t59nmhvtjs2t4zc0000gn/T/AppTranslocation/7FCD3F19-C25A-4779-8780-723088FE4F9F/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"7","1","D1","1N5819","Device:D_Zener_Small","","~"
"8","1","D2","1N5819","Device:D_Small","","~"
"9","1","D3","6V","Device:D_Zener_Small","","~"
"10","1","J1","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"11","1","J2","USB_B_Micro","Connector:USB_B_Micro","","~"
"12","1","L1","170uH","Device:L_Small","","~"
"13","1","L2","1uH","Device:L_Small","","~"
"14","1","Q1","Q_PMOS_GDS","Device:Q_PMOS_GDS","","~"
"15","1","R1","3.17k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"16","1","R2","180","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"17","1","R3","0.22","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"18","1","R4","3.6k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"19","1","R5","5.5k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"20","1","R6","15k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"21","3","R7, R9, R16","100","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"22","1","R8","132k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"23","1","R10","3k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"24","1","R11","2.32k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"25","2","R12, R14","1k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"26","1","R13","0.05","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"27","1","R15","10k","Device:R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"28","3","R101, R104, R105","4.7k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"29","2","R102, R103","1k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"30","4","R106, R107, R108, R109","0","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~"
"31","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~"
"32","1","U1","AZ1117E-3.3","Regulator_Linear:AZ1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.diodes.com/assets/Datasheets/AZ1117.pdf"
"33","1","U2","ATSAMD10D13A-SS","powersupply:ATSAMD10D13A-SS","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-42242-SAM-D10_Datasheet.pdf"
"34","1","U3","B0505S-2WR2","powersupply:RFM-0505S","",""
"35","1","U4","TFT_OLED","powersupply:TFT_OLED","",""
"36","1","U5","joystick-K1-1506DN-01","powersupply:joystick-K1-1506DN-01","",""
"37","1","U6","MC33063AP1","powersupply:MC33063AP1","",""
"38","1","U7","LM358P","powersupply:LM358P","",""
"39","2","U8, U9","1x2","Connector_Generic:Conn_01x02","",""
"40","1","U10","MCP6001-OT","Amplifier_Operational:MCP6001-OT","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
