Source:,/Users/clarissadaniel/Desktop/wavegenerator_verson_1/wavegenerator_v1.sch,,,,,,,,,,
Date:,"Tuesday, July 09, 2019 at 02:38:23 PM",,,,,,,,,,
Tool:,Eeschema (5.1.2-1)-1,,,,,,,,,,
Generator:,/private/var/folders/4n/bxh41g_d1t59nmhvtjs2t4zc0000gn/T/AppTranslocation/DA27679E-DC47-4979-8058-8EDF014347C0/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,52,,,,,,,,,,
,,,,,,,,,,,
Collated Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Field4,Field5,,,
20,1,R4,180k,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,CF14JT180K,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT180K/CF14JT180KTR-ND/1741309,,,
21,1,R5,500,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,53J500E,https://www.digikey.com/product-detail/en/ohmite/53J500E/53J500E-ND/5050028,,,
22,1,R6,470,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,KNP100JR-73-470R,https://www.digikey.com/product-detail/en/yageo/KNP100JR-73-470R/470ACCT-ND/2059101,,,
23,4,"R7, R8, R10, R12",1k,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,CF14JT1K00,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT1K00/CF14JT1K00TR-ND/1741314,,,
24,1,R9,0.24,Device:R_Small_US,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,CFR-25JB-52-2R4,https://www.digikey.com/products/en/resistors/through-hole-resistors/53?k=0.24+kohm+resistor&k=&pkeyword=0.24+kohm+resistor&sv=0&pv2085=u2.4+Ohms&sf=0&FV=ffe00035&quantity=&ColumnSort=1000011&page=1&stock=1&nstock=1&pageSize=25,,,
25,1,RV1,500k,Device:R_POT,wavegenerator_v1:Potentiometer_Updated,~,RK09D113F25C0B504,https://www.mouser.com/ProductDetail/ALPS/RK09D113F25C0B504?qs=sGAEpiMZZMtC25l1F4XBU5bDUEkA0KRWbDnvl5eDiiQ%3D,,,
26,1,RV2,20k,Device:R_POT,wavegenerator_v1:Potentiometer_Updated,~,RK09K1130ACM,https://www.mouser.com/ProductDetail/ALPS/RK09K1130ACM?qs=sGAEpiMZZMtC25l1F4XBU3JeeCo7XMTlCumpZItikQ4%3D,,,
27,1,RV3,10k,Device:R_POT,wavegenerator_v1:Potentiometer_Updated,~,RK09K1130AAU,https://www.mouser.com/ProductDetail/ALPS/RK09K1130AAU?qs=sGAEpiMZZMtC25l1F4XBUza7emsVrz94V9zzjMbPGh0%3D,,,
28,2,"SW1, SW2",button,Switch:SW_Push,Button_Switch_THT:SW_PUSH_6mm,~,1825910-6,https://www.digikey.com/product-detail/en/te-connectivity-alcoswitch-switches/1825910-6/450-1650-ND/1632536,,,
29,1,SW3,SP3T,wavegenerator_v1:SP3T_V1,wavegenerator_v1:SP3T_Updated,OS103011MS8QP1,,https://www.digikey.com/product-detail/en/c-k/OS103011MS8QP1/CKN9543-ND/1981414,,,
